model_name,timestamp,accuracy,precision,recall,f1_score,roc_auc_score,confusion_matrix,classification_report,roc_curve,best_params,best_cv_score
KMeans_V1,2025-08-10 11:21:44,0.5266457680250783,0.518918918918919,0.6075949367088608,0.5597667638483965,0.5273999528264801,"[[72, 89], [62, 96]]","{'0': {'precision': 0.5373134328358209, 'recall': 0.4472049689440994, 'f1-score': 0.488135593220339, 'support': 161.0}, '1': {'precision': 0.518918918918919, 'recall': 0.6075949367088608, 'f1-score': 0.5597667638483965, 'support': 158.0}, 'accuracy': 0.5266457680250783, 'macro avg': {'precision': 0.5281161758773699, 'recall': 0.5273999528264801, 'f1-score': 0.5239511785343678, 'support': 319.0}, 'weighted avg': {'precision': 0.5282026704569165, 'recall': 0.5266457680250783, 'f1-score': 0.523614354848029, 'support': 319.0}}","{'fpr': [0.0, 0.5527950310559007, 1.0], 'tpr': [0.0, 0.6075949367088608, 1.0]}",,
KMeans_V2,2025-08-10 11:22:52,0.5266457680250783,0.518918918918919,0.6075949367088608,0.5597667638483965,0.5273999528264801,"[[72, 89], [62, 96]]","{'0': {'precision': 0.5373134328358209, 'recall': 0.4472049689440994, 'f1-score': 0.488135593220339, 'support': 161.0}, '1': {'precision': 0.518918918918919, 'recall': 0.6075949367088608, 'f1-score': 0.5597667638483965, 'support': 158.0}, 'accuracy': 0.5266457680250783, 'macro avg': {'precision': 0.5281161758773699, 'recall': 0.5273999528264801, 'f1-score': 0.5239511785343678, 'support': 319.0}, 'weighted avg': {'precision': 0.5282026704569165, 'recall': 0.5266457680250783, 'f1-score': 0.523614354848029, 'support': 319.0}}","{'fpr': [0.0, 0.5527950310559007, 1.0], 'tpr': [0.0, 0.6075949367088608, 1.0]}",,
SVM_V1,2025-08-10 18:12:49,0.515625,0.5,0.8387096774193549,0.6265060240963856,0.5268817204301075,"[[7, 26], [5, 26]]","{'0': {'precision': 0.5833333333333334, 'recall': 0.21212121212121213, 'f1-score': 0.3111111111111111, 'support': 33.0}, '1': {'precision': 0.5, 'recall': 0.8387096774193549, 'f1-score': 0.6265060240963856, 'support': 31.0}, 'accuracy': 0.515625, 'macro avg': {'precision': 0.5416666666666667, 'recall': 0.5254154447702835, 'f1-score': 0.46880856760374834, 'support': 64.0}, 'weighted avg': {'precision': 0.54296875, 'recall': 0.515625, 'f1-score': 0.4638805220883534, 'support': 64.0}}","{'fpr': [0.0, 0.7878787878787878, 0.8484848484848485, 0.8484848484848485, 0.8787878787878788, 0.8787878787878788, 0.9696969696969697, 0.9696969696969697, 1.0], 'tpr': [0.0, 0.8387096774193549, 0.8387096774193549, 0.9032258064516129, 0.9032258064516129, 0.967741935483871, 0.967741935483871, 1.0, 1.0]}",,
SVM_V2,2025-08-10 18:13:38,0.5,0.4705882352941176,0.2580645161290322,0.3333333333333333,0.4633431085043988,"[[24, 9], [23, 8]]","{'0': {'precision': 0.5106382978723404, 'recall': 0.7272727272727273, 'f1-score': 0.6, 'support': 33.0}, '1': {'precision': 0.47058823529411764, 'recall': 0.25806451612903225, 'f1-score': 0.3333333333333333, 'support': 31.0}, 'accuracy': 0.5, 'macro avg': {'precision': 0.490613266583229, 'recall': 0.49266862170087977, 'f1-score': 0.4666666666666667, 'support': 64.0}, 'weighted avg': {'precision': 0.49123904881101377, 'recall': 0.5, 'f1-score': 0.4708333333333333, 'support': 64.0}}","{'fpr': [0.0, 0.030303030303030304, 0.030303030303030304, 0.09090909090909091, 0.09090909090909091, 0.15151515151515152, 0.15151515151515152, 0.21212121212121213, 0.21212121212121213, 0.2727272727272727, 0.2727272727272727, 0.3333333333333333, 0.3333333333333333, 0.5151515151515151, 0.5151515151515151, 0.5454545454545454, 0.5454545454545454, 0.6363636363636364, 0.6363636363636364, 0.7272727272727273, 0.7272727272727273, 0.7878787878787878, 0.7878787878787878, 0.8181818181818182, 0.8181818181818182, 0.8787878787878788, 0.8787878787878788, 0.9393939393939394, 0.9393939393939394, 1.0, 1.0], 'tpr': [0.0, 0.0, 0.03225806451612903, 0.03225806451612903, 0.16129032258064516, 0.16129032258064516, 0.1935483870967742, 0.1935483870967742, 0.25806451612903225, 0.25806451612903225, 0.3225806451612903, 0.3225806451612903, 0.3548387096774194, 0.3548387096774194, 0.5161290322580645, 0.5161290322580645, 0.5806451612903226, 0.5806451612903226, 0.6129032258064516, 0.6129032258064516, 0.7096774193548387, 0.7096774193548387, 0.7419354838709677, 0.7419354838709677, 0.7741935483870968, 0.7741935483870968, 0.8064516129032258, 0.8064516129032258, 0.9032258064516129, 0.9032258064516129, 1.0]}",,
SVM_V3,2025-08-10 18:20:24,0.78125,0.8695652173913043,0.6451612903225806,0.7407407407407407,0.8856304985337243,"[[30, 3], [11, 20]]","{'0': {'precision': 0.7317073170731707, 'recall': 0.9090909090909091, 'f1-score': 0.8108108108108109, 'support': 33.0}, '1': {'precision': 0.8695652173913043, 'recall': 0.6451612903225806, 'f1-score': 0.7407407407407407, 'support': 31.0}, 'accuracy': 0.78125, 'macro avg': {'precision': 0.8006362672322376, 'recall': 0.7771260997067448, 'f1-score': 0.7757757757757757, 'support': 64.0}, 'weighted avg': {'precision': 0.7984822375397667, 'recall': 0.78125, 'f1-score': 0.7768706206206206, 'support': 64.0}}","{'fpr': [0.0, 0.0, 0.0, 0.030303030303030304, 0.030303030303030304, 0.12121212121212122, 0.12121212121212122, 0.18181818181818182, 0.18181818181818182, 0.42424242424242425, 0.42424242424242425, 0.6363636363636364, 0.6363636363636364, 0.8787878787878788, 0.8787878787878788, 1.0], 'tpr': [0.0, 0.03225806451612903, 0.6129032258064516, 0.6129032258064516, 0.6451612903225806, 0.6451612903225806, 0.7096774193548387, 0.7096774193548387, 0.8709677419354839, 0.8709677419354839, 0.9354838709677419, 0.9354838709677419, 0.967741935483871, 0.967741935483871, 1.0, 1.0]}","{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.7763255089269752
SVM_V4,2025-08-10 18:35:49,0.796875,0.8214285714285714,0.7419354838709677,0.7796610169491526,0.8748778103616813,"[[28, 5], [8, 23]]","{'0': {'precision': 0.7777777777777778, 'recall': 0.8484848484848485, 'f1-score': 0.8115942028985508, 'support': 33.0}, '1': {'precision': 0.8214285714285714, 'recall': 0.7419354838709677, 'f1-score': 0.7796610169491526, 'support': 31.0}, 'accuracy': 0.796875, 'macro avg': {'precision': 0.7996031746031746, 'recall': 0.7952101661779081, 'f1-score': 0.7956276099238517, 'support': 64.0}, 'weighted avg': {'precision': 0.7989211309523809, 'recall': 0.796875, 'f1-score': 0.7961265659543111, 'support': 64.0}}","{'fpr': [0.0, 0.0, 0.0, 0.030303030303030304, 0.030303030303030304, 0.09090909090909091, 0.09090909090909091, 0.15151515151515152, 0.15151515151515152, 0.15151515151515152, 0.21212121212121213, 0.21212121212121213, 0.24242424242424243, 0.24242424242424243, 0.30303030303030304, 0.30303030303030304, 0.6060606060606061, 0.6060606060606061, 0.8181818181818182, 0.8181818181818182, 1.0], 'tpr': [0.0, 0.03225806451612903, 0.41935483870967744, 0.41935483870967744, 0.5161290322580645, 0.5161290322580645, 0.5806451612903226, 0.5806451612903226, 0.6774193548387096, 0.7419354838709677, 0.7419354838709677, 0.8387096774193549, 0.8387096774193549, 0.9032258064516129, 0.9032258064516129, 0.9354838709677419, 0.9354838709677419, 0.967741935483871, 0.967741935483871, 1.0, 1.0]}","{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.737861899304105
NB_V1,2025-08-11 07:57:20,0.546875,0.75,0.0967741935483871,0.1714285714285714,0.7644183773216031,"[[32, 1], [28, 3]]","{'0': {'precision': 0.5333333333333333, 'recall': 0.9696969696969697, 'f1-score': 0.6881720430107527, 'support': 33.0}, '1': {'precision': 0.75, 'recall': 0.0967741935483871, 'f1-score': 0.17142857142857143, 'support': 31.0}, 'accuracy': 0.546875, 'macro avg': {'precision': 0.6416666666666666, 'recall': 0.5332355816226784, 'f1-score': 0.4298003072196621, 'support': 64.0}, 'weighted avg': {'precision': 0.63828125, 'recall': 0.546875, 'f1-score': 0.43787442396313364, 'support': 64.0}}","{'fpr': [0.0, 0.030303030303030304, 0.030303030303030304, 0.06060606060606061, 0.06060606060606061, 0.12121212121212122, 0.12121212121212122, 0.24242424242424243, 0.24242424242424243, 0.30303030303030304, 0.30303030303030304, 0.36363636363636365, 0.36363636363636365, 0.3939393939393939, 0.3939393939393939, 0.42424242424242425, 0.42424242424242425, 0.45454545454545453, 0.45454545454545453, 0.48484848484848486, 0.48484848484848486, 0.696969696969697, 0.696969696969697, 1.0, 1.0], 'tpr': [0.0, 0.0, 0.3548387096774194, 0.3548387096774194, 0.4838709677419355, 0.4838709677419355, 0.5161290322580645, 0.5161290322580645, 0.5483870967741935, 0.5483870967741935, 0.5806451612903226, 0.5806451612903226, 0.7419354838709677, 0.7419354838709677, 0.8387096774193549, 0.8387096774193549, 0.8709677419354839, 0.8709677419354839, 0.9032258064516129, 0.9032258064516129, 0.9354838709677419, 0.9354838709677419, 0.967741935483871, 0.967741935483871, 1.0]}",,
NB_V2,2025-08-11 07:57:56,0.546875,0.75,0.0967741935483871,0.1714285714285714,0.7849462365591398,"[[32, 1], [28, 3]]","{'0': {'precision': 0.5333333333333333, 'recall': 0.9696969696969697, 'f1-score': 0.6881720430107527, 'support': 33.0}, '1': {'precision': 0.75, 'recall': 0.0967741935483871, 'f1-score': 0.17142857142857143, 'support': 31.0}, 'accuracy': 0.546875, 'macro avg': {'precision': 0.6416666666666666, 'recall': 0.5332355816226784, 'f1-score': 0.4298003072196621, 'support': 64.0}, 'weighted avg': {'precision': 0.63828125, 'recall': 0.546875, 'f1-score': 0.43787442396313364, 'support': 64.0}}","{'fpr': [0.0, 0.0, 0.0, 0.030303030303030304, 0.030303030303030304, 0.06060606060606061, 0.06060606060606061, 0.09090909090909091, 0.09090909090909091, 0.12121212121212122, 0.12121212121212122, 0.18181818181818182, 0.18181818181818182, 0.24242424242424243, 0.24242424242424243, 0.2727272727272727, 0.2727272727272727, 0.36363636363636365, 0.36363636363636365, 0.48484848484848486, 0.48484848484848486, 0.5454545454545454, 0.5454545454545454, 0.6666666666666666, 0.6666666666666666, 0.7272727272727273, 0.7272727272727273, 0.9090909090909091, 0.9090909090909091, 0.9696969696969697, 0.9696969696969697, 1.0], 'tpr': [0.0, 0.03225806451612903, 0.0967741935483871, 0.0967741935483871, 0.41935483870967744, 0.41935483870967744, 0.5161290322580645, 0.5161290322580645, 0.5483870967741935, 0.5483870967741935, 0.6129032258064516, 0.6129032258064516, 0.6451612903225806, 0.6451612903225806, 0.7419354838709677, 0.7419354838709677, 0.7741935483870968, 0.7741935483870968, 0.8064516129032258, 0.8064516129032258, 0.8387096774193549, 0.8387096774193549, 0.8709677419354839, 0.8709677419354839, 0.9032258064516129, 0.9032258064516129, 0.9354838709677419, 0.9354838709677419, 0.967741935483871, 0.967741935483871, 1.0, 1.0]}",,
NB_V3,2025-08-11 07:58:21,0.515625,0.5,0.6451612903225806,0.5633802816901409,0.6099706744868035,"[[13, 20], [11, 20]]","{'0': {'precision': 0.5416666666666666, 'recall': 0.3939393939393939, 'f1-score': 0.45614035087719296, 'support': 33.0}, '1': {'precision': 0.5, 'recall': 0.6451612903225806, 'f1-score': 0.5633802816901409, 'support': 31.0}, 'accuracy': 0.515625, 'macro avg': {'precision': 0.5208333333333333, 'recall': 0.5195503421309873, 'f1-score': 0.5097603162836669, 'support': 64.0}, 'weighted avg': {'precision': 0.521484375, 'recall': 0.515625, 'f1-score': 0.5080846923647147, 'support': 64.0}}","{'fpr': [0.0, 0.0, 0.0, 0.030303030303030304, 0.030303030303030304, 0.06060606060606061, 0.06060606060606061, 0.09090909090909091, 0.09090909090909091, 0.15151515151515152, 0.15151515151515152, 0.21212121212121213, 0.21212121212121213, 0.24242424242424243, 0.24242424242424243, 0.2727272727272727, 0.2727272727272727, 0.3333333333333333, 0.3333333333333333, 0.42424242424242425, 0.42424242424242425, 0.6363636363636364, 0.6363636363636364, 0.6666666666666666, 0.6666666666666666, 0.7272727272727273, 0.7272727272727273, 0.7575757575757576, 0.7575757575757576, 0.8181818181818182, 0.8181818181818182, 0.8484848484848485, 0.8484848484848485, 0.9393939393939394, 0.9393939393939394, 1.0], 'tpr': [0.0, 0.03225806451612903, 0.0967741935483871, 0.0967741935483871, 0.22580645161290322, 0.22580645161290322, 0.25806451612903225, 0.25806451612903225, 0.2903225806451613, 0.2903225806451613, 0.3548387096774194, 0.3548387096774194, 0.3870967741935484, 0.3870967741935484, 0.41935483870967744, 0.41935483870967744, 0.45161290322580644, 0.45161290322580644, 0.5483870967741935, 0.5483870967741935, 0.6451612903225806, 0.6451612903225806, 0.7096774193548387, 0.7096774193548387, 0.7419354838709677, 0.7419354838709677, 0.7741935483870968, 0.7741935483870968, 0.8064516129032258, 0.8064516129032258, 0.9032258064516129, 0.9032258064516129, 0.967741935483871, 0.967741935483871, 1.0, 1.0]}",{'var_smoothing': np.float64(1.0)},0.5834024331642651
NB_V4,2025-08-11 07:58:48,0.515625,0.5,0.6451612903225806,0.5633802816901409,0.6099706744868035,"[[13, 20], [11, 20]]","{'0': {'precision': 0.5416666666666666, 'recall': 0.3939393939393939, 'f1-score': 0.45614035087719296, 'support': 33.0}, '1': {'precision': 0.5, 'recall': 0.6451612903225806, 'f1-score': 0.5633802816901409, 'support': 31.0}, 'accuracy': 0.515625, 'macro avg': {'precision': 0.5208333333333333, 'recall': 0.5195503421309873, 'f1-score': 0.5097603162836669, 'support': 64.0}, 'weighted avg': {'precision': 0.521484375, 'recall': 0.515625, 'f1-score': 0.5080846923647147, 'support': 64.0}}","{'fpr': [0.0, 0.0, 0.0, 0.030303030303030304, 0.030303030303030304, 0.06060606060606061, 0.06060606060606061, 0.09090909090909091, 0.09090909090909091, 0.15151515151515152, 0.15151515151515152, 0.21212121212121213, 0.21212121212121213, 0.24242424242424243, 0.24242424242424243, 0.2727272727272727, 0.2727272727272727, 0.3333333333333333, 0.3333333333333333, 0.42424242424242425, 0.42424242424242425, 0.6363636363636364, 0.6363636363636364, 0.6666666666666666, 0.6666666666666666, 0.7272727272727273, 0.7272727272727273, 0.7575757575757576, 0.7575757575757576, 0.8181818181818182, 0.8181818181818182, 0.8484848484848485, 0.8484848484848485, 0.9393939393939394, 0.9393939393939394, 1.0], 'tpr': [0.0, 0.03225806451612903, 0.0967741935483871, 0.0967741935483871, 0.22580645161290322, 0.22580645161290322, 0.25806451612903225, 0.25806451612903225, 0.2903225806451613, 0.2903225806451613, 0.3548387096774194, 0.3548387096774194, 0.3870967741935484, 0.3870967741935484, 0.41935483870967744, 0.41935483870967744, 0.45161290322580644, 0.45161290322580644, 0.5483870967741935, 0.5483870967741935, 0.6451612903225806, 0.6451612903225806, 0.7096774193548387, 0.7096774193548387, 0.7419354838709677, 0.7419354838709677, 0.7741935483870968, 0.7741935483870968, 0.8064516129032258, 0.8064516129032258, 0.9032258064516129, 0.9032258064516129, 0.967741935483871, 0.967741935483871, 1.0, 1.0]}",{'var_smoothing': np.float64(1.0)},0.5834024331642651
LR_V1,2025-08-11 08:20:01,0.765625,0.8076923076923077,0.6774193548387096,0.7368421052631579,0.8836754643206256,"[[28, 5], [10, 21]]","{'0': {'precision': 0.7368421052631579, 'recall': 0.8484848484848485, 'f1-score': 0.7887323943661971, 'support': 33.0}, '1': {'precision': 0.8076923076923077, 'recall': 0.6774193548387096, 'f1-score': 0.7368421052631579, 'support': 31.0}, 'accuracy': 0.765625, 'macro avg': {'precision': 0.7722672064777327, 'recall': 0.7629521016617791, 'f1-score': 0.7627872498146775, 'support': 64.0}, 'weighted avg': {'precision': 0.7711601720647774, 'recall': 0.765625, 'f1-score': 0.7635980355819125, 'support': 64.0}}","{'fpr': [0.0, 0.0, 0.0, 0.030303030303030304, 0.030303030303030304, 0.06060606060606061, 0.06060606060606061, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.18181818181818182, 0.2727272727272727, 0.2727272727272727, 0.36363636363636365, 0.36363636363636365, 0.3939393939393939, 0.3939393939393939, 0.8484848484848485, 0.8484848484848485, 1.0], 'tpr': [0.0, 0.03225806451612903, 0.5483870967741935, 0.5483870967741935, 0.6129032258064516, 0.6129032258064516, 0.6451612903225806, 0.6451612903225806, 0.6774193548387096, 0.6774193548387096, 0.8064516129032258, 0.8064516129032258, 0.8387096774193549, 0.8387096774193549, 0.8709677419354839, 0.8709677419354839, 0.967741935483871, 0.967741935483871, 1.0, 1.0]}",,
LR_V2,2025-08-11 08:20:25,0.78125,0.7931034482758621,0.7419354838709677,0.7666666666666667,0.8680351906158357,"[[27, 6], [8, 23]]","{'0': {'precision': 0.7714285714285715, 'recall': 0.8181818181818182, 'f1-score': 0.7941176470588235, 'support': 33.0}, '1': {'precision': 0.7931034482758621, 'recall': 0.7419354838709677, 'f1-score': 0.7666666666666667, 'support': 31.0}, 'accuracy': 0.78125, 'macro avg': {'precision': 0.7822660098522167, 'recall': 0.7800586510263929, 'f1-score': 0.7803921568627451, 'support': 64.0}, 'weighted avg': {'precision': 0.7819273399014779, 'recall': 0.78125, 'f1-score': 0.7808210784313725, 'support': 64.0}}","{'fpr': [0.0, 0.0, 0.0, 0.030303030303030304, 0.030303030303030304, 0.06060606060606061, 0.06060606060606061, 0.09090909090909091, 0.09090909090909091, 0.12121212121212122, 0.12121212121212122, 0.15151515151515152, 0.15151515151515152, 0.18181818181818182, 0.18181818181818182, 0.24242424242424243, 0.24242424242424243, 0.30303030303030304, 0.30303030303030304, 0.45454545454545453, 0.45454545454545453, 0.7272727272727273, 0.7272727272727273, 0.9393939393939394, 0.9393939393939394, 1.0], 'tpr': [0.0, 0.03225806451612903, 0.3870967741935484, 0.3870967741935484, 0.4838709677419355, 0.4838709677419355, 0.5161290322580645, 0.5161290322580645, 0.6774193548387096, 0.6774193548387096, 0.7096774193548387, 0.7096774193548387, 0.7419354838709677, 0.7419354838709677, 0.8387096774193549, 0.8387096774193549, 0.8709677419354839, 0.8709677419354839, 0.9032258064516129, 0.9032258064516129, 0.9354838709677419, 0.9354838709677419, 0.967741935483871, 0.967741935483871, 1.0, 1.0]}",,
LR_V3,2025-08-11 08:33:38,0.765625,0.8076923076923077,0.6774193548387096,0.7368421052631579,0.863147605083089,"[[28, 5], [10, 21]]","{'0': {'precision': 0.7368421052631579, 'recall': 0.8484848484848485, 'f1-score': 0.7887323943661971, 'support': 33.0}, '1': {'precision': 0.8076923076923077, 'recall': 0.6774193548387096, 'f1-score': 0.7368421052631579, 'support': 31.0}, 'accuracy': 0.765625, 'macro avg': {'precision': 0.7722672064777327, 'recall': 0.7629521016617791, 'f1-score': 0.7627872498146775, 'support': 64.0}, 'weighted avg': {'precision': 0.7711601720647774, 'recall': 0.765625, 'f1-score': 0.7635980355819125, 'support': 64.0}}","{'fpr': [0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 0.15151515151515152, 0.15151515151515152, 0.21212121212121213, 0.21212121212121213, 0.24242424242424243, 0.24242424242424243, 0.2727272727272727, 0.2727272727272727, 0.30303030303030304, 0.30303030303030304, 0.36363636363636365, 0.36363636363636365, 0.3939393939393939, 0.3939393939393939, 0.45454545454545453, 0.45454545454545453, 0.5454545454545454, 0.5454545454545454, 0.8181818181818182, 0.8181818181818182, 1.0], 'tpr': [0.0, 0.03225806451612903, 0.5483870967741935, 0.5483870967741935, 0.6129032258064516, 0.6129032258064516, 0.7096774193548387, 0.7096774193548387, 0.7419354838709677, 0.7419354838709677, 0.7741935483870968, 0.7741935483870968, 0.8064516129032258, 0.8064516129032258, 0.8387096774193549, 0.8387096774193549, 0.8709677419354839, 0.8709677419354839, 0.9032258064516129, 0.9032258064516129, 0.9354838709677419, 0.9354838709677419, 0.967741935483871, 0.967741935483871, 1.0, 1.0]}","{'C': np.float64(21.54434690031882), 'l1_ratio': None, 'penalty': 'l2', 'solver': 'liblinear'}",0.7686874327174703
LR_V4,2025-08-11 08:34:37,0.796875,0.8214285714285714,0.7419354838709677,0.7796610169491526,0.8680351906158357,"[[28, 5], [8, 23]]","{'0': {'precision': 0.7777777777777778, 'recall': 0.8484848484848485, 'f1-score': 0.8115942028985508, 'support': 33.0}, '1': {'precision': 0.8214285714285714, 'recall': 0.7419354838709677, 'f1-score': 0.7796610169491526, 'support': 31.0}, 'accuracy': 0.796875, 'macro avg': {'precision': 0.7996031746031746, 'recall': 0.7952101661779081, 'f1-score': 0.7956276099238517, 'support': 64.0}, 'weighted avg': {'precision': 0.7989211309523809, 'recall': 0.796875, 'f1-score': 0.7961265659543111, 'support': 64.0}}","{'fpr': [0.0, 0.0, 0.0, 0.030303030303030304, 0.030303030303030304, 0.06060606060606061, 0.06060606060606061, 0.09090909090909091, 0.09090909090909091, 0.15151515151515152, 0.15151515151515152, 0.24242424242424243, 0.24242424242424243, 0.3333333333333333, 0.3333333333333333, 0.3939393939393939, 0.3939393939393939, 0.45454545454545453, 0.45454545454545453, 0.7575757575757576, 0.7575757575757576, 0.8787878787878788, 0.8787878787878788, 1.0], 'tpr': [0.0, 0.03225806451612903, 0.45161290322580644, 0.45161290322580644, 0.5806451612903226, 0.5806451612903226, 0.6129032258064516, 0.6129032258064516, 0.6451612903225806, 0.6451612903225806, 0.8064516129032258, 0.8064516129032258, 0.8387096774193549, 0.8387096774193549, 0.8709677419354839, 0.8709677419354839, 0.9032258064516129, 0.9032258064516129, 0.9354838709677419, 0.9354838709677419, 0.967741935483871, 0.967741935483871, 1.0, 1.0]}","{'C': np.float64(0.3593813663804626), 'l1_ratio': None, 'penalty': 'l2', 'solver': 'liblinear'}",0.7512304416939364
